0,2020.3.8.15.19.8,607959,139158,26313,23922,4679,20462,29655,2826,0,0
1,2020.3.8.15.19.9,921630,233763,82747,53509,82804,85354,75950,59782,0,0
2,2020.3.8.15.19.19,680467,24506,7205,4833,1938,1284,483,258,0,0
3,2020.3.8.15.19.20,785526,88381,34155,23923,21353,37453,15483,6643,0,0
4,2020.3.8.15.19.21,1134734,99475,62302,26832,148661,104173,54530,8788,0,0
5,2020.3.8.15.19.22,1055969,320742,72074,199942,170269,452908,167971,123401,0,0
6,2020.3.8.15.19.23,570100,14550,4220,9319,6726,5138,1652,1135,0,0
7,2020.3.8.15.19.24,923263,224484,5385,42632,139468,87134,45755,86691,0,0
8,2020.3.8.15.19.25,630258,73274,5468,19762,54020,46610,2877,4317,0,0
9,2020.3.8.15.19.26,2801348,970819,298679,229005,635327,460120,514430,202992,0,0
10,2020.3.8.15.19.27,1325228,168687,241160,87514,165566,105520,56413,17180,0,0
11,2020.3.8.15.19.28,884648,376845,135343,74014,144826,132335,17330,22487,0,0
12,2020.3.8.15.19.29,1173105,85726,71963,52551,25487,26531,4269,5351,0,0
13,2020.3.8.15.19.30,1994908,43319,18334,13081,10521,7287,2189,826,0,0
14,2020.3.8.15.19.34,641051,673338,139844,106193,144063,163224,42216,11297,0,0
15,2020.3.8.15.19.35,2563470,233339,109453,122886,72016,40749,26634,15870,0,0
16,2020.3.8.15.19.36,373367,20364,16724,10418,6596,6255,2368,704,0,0
17,2020.3.8.15.19.37,1001414,345210,153978,204890,242459,215986,46963,13905,0,0
18,2020.3.8.15.19.38,2031750,373445,25611,19321,9809,8829,4260,4919,0,0
19,2020.3.8.15.19.39,1090599,32807,4665,15527,49906,10914,1715,940,0,0
20,2020.3.8.15.19.40,622561,88522,147373,36868,16076,8451,942,916,0,0
21,2020.3.8.15.19.41,1170106,78972,12168,31059,10912,16265,5592,2295,0,0
22,2020.3.8.15.19.42,1801925,36585,8062,1277,1812,4269,1795,311,0,0
23,2020.3.8.15.19.43,1599213,304438,17194,78916,43648,123855,135753,76505,0,0
24,2020.3.8.15.19.44,465439,13936,8780,12642,2210,3038,352,123,0,0
