,Time,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
0,2020.3.6.16.23.25,1223730,90078,4777,7651,13083,12359,8302,10166,0,0
1,2020.3.6.16.23.27,171231,16880,1936,4922,15334,37412,18188,16290,0,0
2,2020.3.6.16.23.29,764937,27994,13854,8240,33132,10731,15940,21877,0,0
3,2020.3.6.16.23.31,1229698,21263,8160,15176,11483,19360,27040,6317,0,0
4,2020.3.6.16.23.33,19976,8212,1413,1702,4008,3673,1227,3224,0,0
5,2020.3.6.16.23.47,57380,18738,1316,843,95,324,164,86,0,0
6,2020.3.6.16.23.49,985261,162785,73163,49654,21372,15750,4655,2806,0,0
7,2020.3.6.16.23.52,1488052,88832,18261,33575,13412,9809,7366,3087,0,0
8,2020.3.6.16.23.54,1164592,141424,8277,17466,10925,17774,2830,3458,0,0
9,2020.3.6.16.23.57,2250570,382663,13796,20128,42307,21354,10969,5144,30,30
10,2020.3.6.16.23.59,326900,127956,83397,9993,13085,8211,2391,1679,44,14
11,2020.3.6.16.24.1,137425,20442,4049,2802,1411,2467,565,414,51,23
12,2020.3.6.16.24.4,2559122,319859,16235,45427,45883,29375,20651,8675,51,27
13,2020.3.6.16.24.6,897563,43612,11746,8092,4055,3498,607,295,67,27
14,2020.3.6.16.24.9,2285461,51255,21555,6279,22983,4422,3505,943,61,38
15,2020.3.6.16.24.11,98931,62674,4725,10473,10603,4221,1561,2458,56,24
16,2020.3.6.16.24.14,583973,84764,47948,11312,8704,3377,2983,2303,70,1
17,2020.3.6.16.24.16,475746,43347,10022,4568,4470,6339,1600,617,16,29
18,2020.3.6.16.24.19,744148,422181,138809,27857,19989,21833,11462,13358,16,29
19,2020.3.6.16.24.22,1773145,245017,209607,214430,35126,77592,66910,27713,16,29
20,2020.3.6.16.24.24,905982,16749,24466,15889,15056,21494,26115,6219,16,29
21,2020.3.6.16.24.27,802645,49638,1722,5705,6568,2313,1321,650,24,43
22,2020.3.6.16.24.30,747843,370144,153493,61518,13499,22458,5840,7823,41,60
23,2020.3.6.16.24.33,2117154,36276,3024,3773,3225,6478,2993,1082,51,90
24,2020.3.6.16.24.35,1146697,156769,28491,13644,3610,4433,3013,996,51,64
25,2020.3.6.16.24.38,353589,97077,13546,4405,6224,2364,3763,3093,54,51
