,Time,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
7,2020.3.8.14.55.50,407200,76317,10084,1559,8026,10371,8693,4081,40,53
8,2020.3.8.14.55.51,732281,63321,18946,17329,10451,8165,6768,13122,54,60
9,2020.3.8.14.55.52,1016202,33016,84337,51552,10841,7345,7734,2607,78,53
10,2020.3.8.14.55.53,1206405,77753,12870,23332,60177,21929,11005,12340,80,77
11,2020.3.8.14.55.54,292169,16982,12701,3306,6373,3826,7219,5786,90,74
12,2020.3.8.14.55.55,1421879,8940,6951,11977,14692,7780,5306,2565,87,90
13,2020.3.8.14.55.56,364638,1017446,12762,23054,62266,76590,33994,27504,50,96
14,2020.3.8.14.55.57,2372161,85569,47169,24609,8580,4270,4724,3909,60,56
15,2020.3.8.14.55.58,2089884,517882,79516,36279,73568,43927,45186,27613,51,44
16,2020.3.8.14.55.59,1613608,213693,40298,8418,45054,13774,17575,15885,40,14
17,2020.3.8.14.56.0,239082,55986,2562,3852,2791,3931,5726,3913,50,14
18,2020.3.8.14.56.1,280234,290711,29764,92282,112088,24169,20027,27976,41,26
19,2020.3.8.14.56.2,243249,26124,11344,14831,12215,7021,7909,1770,50,38
20,2020.3.8.14.56.3,379582,88430,17961,12482,12135,19068,18871,10548,53,57
21,2020.3.8.14.56.4,170563,14795,922,3762,1626,619,2219,1065,61,47
22,2020.3.8.14.56.5,1770279,177138,96353,56669,14703,27869,18071,9144,69,53
23,2020.3.8.14.56.6,608474,114527,10257,18503,10090,15156,5709,3074,63,48
24,2020.3.8.14.56.7,414989,64911,6970,3848,9519,4507,3001,3212,57,29
25,2020.3.8.14.56.8,654037,232545,13760,32368,8978,17152,15114,10551,53,43
26,2020.3.8.14.56.9,164910,176417,31926,14440,12751,34866,21399,9293,43,54
27,2020.3.8.14.56.10,160310,29911,3067,6807,3299,5095,3642,4386,44,56
28,2020.3.8.14.56.11,321080,22173,4137,17211,6015,11482,9498,2854,56,84
29,2020.3.8.14.56.12,206879,21430,8986,3738,11258,6501,6180,6031,61,100
30,2020.3.8.14.56.13,697507,113168,82278,23972,11776,4274,6991,7681,70,69
