,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
0,139471,21979,5889,7062,3934,2499,1096,1494,0,0
1,620355,66622,21261,14211,15393,5591,3370,1251,0,0
2,820443,226828,53698,101096,34256,14520,9932,5011,0,0
3,1388966,300684,134720,97754,19762,34633,14768,11268,51,48
4,957404,325573,61896,26738,77845,35641,10323,7419,34,70
5,566189,500348,41310,82715,38951,21332,9910,7082,20,56
6,827081,1026307,98421,195128,68352,79872,27115,12688,8,63
7,547532,356279,45768,94080,12601,11353,9346,3249,1,35
8,490777,170350,183495,25253,15245,14878,4169,2744,37,11
9,502247,78885,27908,84412,28760,12051,8376,4623,75,40
10,213057,189271,30659,100327,17417,24242,3975,3441,94,51
11,957301,205573,3487,21824,16371,4983,8462,2551,77,51
12,142926,104672,10426,3526,2263,2396,723,527,37,34
13,912814,17957,7946,11984,4757,2959,832,349,34,41
14,274357,164833,18010,66035,37253,19811,10055,1617,29,43
15,1213733,299322,32705,26309,41788,8644,2417,2829,38,51
16,584667,212803,70637,19614,8558,4739,1509,1300,61,51
17,2081705,600444,145892,44380,22222,22107,17031,6519,43,24
18,993086,61892,64012,22904,12501,8408,5290,2502,60,16
19,1004627,184323,9572,10954,7115,5375,8768,1687,51,21
20,1235920,441724,87642,92338,10563,31665,8886,7695,48,51
21,1441589,150287,29052,16019,16938,12945,3489,1336,47,75
22,2370672,94760,15944,8033,10592,5878,2458,787,17,69
23,47016,10350,1847,7965,1538,1728,663,263,53,100
24,135104,49836,4474,6556,2378,1936,1038,302,41,88
25,623754,121977,7138,3198,4239,2833,4800,2181,24,60
26,29406,17935,10600,2441,2314,1005,1403,390,47,50
27,1453773,47510,12721,18915,4755,8553,1099,861,43,50
28,1471057,169045,111519,99155,51550,23626,11844,5875,74,60
29,616966,277419,17102,11815,36979,97394,70485,56786,74,60
30,74378,98641,14552,30084,14881,50537,31419,1951,74,60
31,50389,28392,16850,7592,2801,7265,6162,5355,0,0
