,Time,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
0,2020.3.8.14.46.47,1369882,109494,7719,24283,12074,3966,780,544,0,0
1,2020.3.8.14.46.49,1505709,248137,26825,4567,21225,82102,133110,111423,0,0
2,2020.3.8.14.46.52,1414111,240584,11207,72328,55773,29387,6565,1373,0,0
3,2020.3.8.14.46.54,177945,36001,8551,17404,4233,9127,2179,844,0,0
4,2020.3.8.14.46.57,1001443,137423,10409,44605,30968,9815,6381,4160,0,0
5,2020.3.8.14.46.59,464873,21807,7159,3482,1616,1007,368,208,0,0
6,2020.3.8.14.47.2,411472,408607,141910,150623,221788,175835,208667,223877,0,0
7,2020.3.8.14.47.4,1026271,215973,546109,271168,351709,447093,421439,229981,0,0
8,2020.3.8.14.47.5,320624,12460,2275,1324,1005,438,192,76,0,0
9,2020.3.8.14.47.8,123342,29951,6155,4957,12183,5124,8892,3137,0,0
10,2020.3.8.14.47.11,2078268,104762,42634,11685,8256,11816,5410,5811,0,0
11,2020.3.8.14.47.13,1302680,463346,89297,53655,38154,30697,45304,26689,41,30
12,2020.3.8.14.47.16,246697,30588,6369,1287,5874,904,4782,1358,38,13
13,2020.3.8.14.47.19,1189033,165531,20382,26197,13289,12835,6626,6113,40,13
14,2020.3.8.14.47.22,963992,515938,106761,42857,22199,40206,20970,17655,44,11
15,2020.3.8.14.47.24,148151,48116,5281,3913,1789,1703,2394,799,37,7
16,2020.3.8.14.47.27,145957,86545,18694,24139,3652,6299,6099,3890,57,20
17,2020.3.8.14.47.30,1761704,78534,33519,12677,18036,16467,8254,2410,69,37
18,2020.3.8.14.47.33,801528,502331,49336,38685,21182,6979,7551,4484,54,20
19,2020.3.8.14.47.36,342031,42678,9117,6660,9546,5967,3797,1539,66,47
20,2020.3.8.14.47.39,1294892,324785,10982,17547,21374,8601,15005,7641,29,47
21,2020.3.8.14.47.42,368245,31936,5591,5909,9125,1549,1867,1054,21,29
22,2020.3.8.14.47.44,160838,59905,3763,15205,6121,3551,6448,7154,37,50
23,2020.3.8.14.47.48,82155,30101,14939,8506,4050,3736,4216,2473,83,63
24,2020.3.8.14.47.51,25011,10854,543,7854,2013,4846,5234,2287,77,78
25,2020.3.8.14.47.54,167845,21305,7547,13941,5074,6070,1502,3677,61,93
26,2020.3.8.14.47.57,149373,33876,22328,1637,5066,3190,1471,2377,63,87
27,2020.3.8.14.48.0,466470,259338,64232,31535,36903,34215,15415,10288,53,91
28,2020.3.8.14.48.3,727975,20059,24064,23474,9076,11631,11203,7709,64,87
29,2020.3.8.14.48.6,257478,16937,5284,25113,5214,6581,1648,1691,69,87
30,2020.3.8.14.48.9,114811,12221,10309,1492,3506,4406,7994,1313,70,100
31,2020.3.8.14.48.13,719512,60383,13146,12686,17036,23935,14558,4985,69,100
32,2020.3.8.14.48.16,617422,28509,16291,15797,4398,9481,8609,2906,64,100
33,2020.3.8.14.48.19,18485,2817,2538,1213,547,673,744,862,63,100
34,2020.3.8.14.48.22,968253,387879,101721,96938,20154,23901,18041,11053,60,90
35,2020.3.8.14.48.26,114754,99378,32775,1505,4785,6004,5929,8185,63,66
36,2020.3.8.14.48.29,757145,53088,9376,6074,5572,7423,9038,7353,48,60
37,2020.3.8.14.48.32,62076,5620,2209,653,2072,3376,2969,2283,75,81
