,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
0,697253,51043,14879,9203,2806,1555,635,375,0,0
1,2023854,482128,22411,71278,11559,7574,4342,6305,0,0
2,2529133,13965,6025,7839,4188,642,404,166,0,0
3,227415,324194,125515,82980,57031,32238,8106,1534,0,0
4,373868,4331,3307,4407,1472,591,486,153,0,0
5,1224984,3681,9040,6928,1134,1739,997,389,0,0
6,799508,64680,39772,40205,13453,4464,7363,1982,0,0
7,158779,15991,4256,379,1302,1431,259,808,35,53
8,797538,3650,1890,1380,2432,548,165,140,35,53
9,1358876,38185,15030,33932,7242,6521,2804,986,35,53
10,396590,29473,5415,2703,1524,1036,372,168,35,53
11,671334,35881,2333,4637,2471,857,1034,554,26,50
12,491227,381864,83517,49723,26942,9346,10525,6742,26,47
13,570277,58587,39539,27575,29940,14612,6771,3584,34,67
14,385038,35903,8188,2433,8305,3292,859,1193,34,67
15,1766456,62396,16217,21308,66838,26004,11970,5287,37,93
16,1544667,42966,8842,19758,16304,4835,2100,2042,38,100
17,1767123,20269,1287,11706,7263,3454,1488,457,38,100
18,546175,12560,12202,5202,2867,2494,829,252,41,96
19,52242,101380,9285,8622,6140,1898,2138,852,38,75
20,540937,39247,12347,2870,4564,5434,3025,755,40,64
21,146428,13458,1117,5444,4987,1051,657,270,37,63
22,1041432,38924,13458,5931,4868,5922,3069,1055,26,64
23,1596508,98404,19310,3430,13925,11440,3301,3285,27,87
24,696153,38047,11244,10215,6558,2687,919,1098,34,77
25,483065,122270,20324,29732,19752,22384,6726,3407,30,87
26,90990,17511,7336,23475,10050,5623,4564,5626,41,88
27,1185388,176637,14378,44306,8407,13558,12373,3723,47,81
28,98034,77301,18856,29660,15894,20027,11734,10697,44,96
29,1446600,187372,5378,44906,66317,12807,22028,3804,40,87
30,161734,3035,2752,5743,1146,2202,635,1002,40,87
31,469476,40741,7885,12764,26757,4237,2745,704,0,0
