delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
1439928,51417,4070,7453,8840,5989,1521,524,34,41
318135,83916,17563,6381,17881,6470,2237,1531,29,38
127514,36465,11288,25116,2488,2558,3378,1633,51,29
637544,42232,1512,6986,4969,4562,5628,1636,47,30
30257,15630,6390,3575,7721,1515,1648,943,61,26
327197,18145,1170,3204,2453,4105,510,419,61,26
576715,36056,35072,37153,33272,19572,4714,11335,61,26
77096,71739,50956,21170,18407,16298,8418,3513,61,26
424220,247930,95510,72597,19332,7877,7665,1600,61,26
2205828,120958,39957,15517,21257,16726,9789,6478,61,26
659111,243908,12102,13075,12355,22169,9633,2803,61,26
1237813,173191,87695,184657,124497,266124,65312,17468,61,26
1064812,80084,49845,52293,23446,31894,41631,30332,61,26
858477,143802,34164,105817,82161,101604,78028,72228,61,26
654226,72745,6068,12709,8071,5053,4214,1723,61,26
79169,68949,9715,43743,1690,50487,2109,1600,30,51
998926,81030,10318,24037,12163,19960,15055,6649,30,51
787919,146794,3304,18681,10460,25284,21867,8205,30,51
1506456,271438,7763,152510,14501,185183,8222,4667,30,51
221016,55084,9255,27952,7014,47330,1577,1848,30,51
603146,81895,6999,31701,7639,21564,13138,7846,30,51
1072198,40357,41443,166202,19424,219963,11702,10234,30,51
1634407,373285,22863,173151,51811,47278,71615,11480,30,51
1516609,55668,8042,28000,147467,131074,2984,3982,30,51
1248185,7615,35332,28819,69649,143697,6509,3166,30,51
108761,4704,9297,19671,13587,38558,1120,1884,30,51
347919,33668,4265,14073,6276,27854,1575,1012,30,51
599123,39917,12011,14768,12331,19984,514,627,30,51
366683,31306,1381,26732,10607,24286,838,800,30,51
2010901,40853,9171,24953,51606,114970,3862,3028,30,51
774440,32074,3828,18027,14249,34676,595,904,30,51
2104816,23715,52033,31133,94607,105716,3368,2350,30,51
31961,89366,2546,28291,4074,22984,1752,1153,38,54
1737267,106228,12535,25993,79736,115253,2210,2368,38,54
2337426,52370,13943,35226,61854,114047,3765,2981,38,54
2053813,17464,26231,33028,65017,106239,2741,5982,38,54
1378845,93102,2349,81921,30406,87070,3261,5503,50,63
1290906,41794,11689,40284,61241,52210,8296,3094,60,70
235700,9845,15295,23307,6646,20778,1339,1744,90,66
269796,18355,19746,22871,8238,23099,1343,1724,90,66
1071902,23000,16373,64028,45099,30992,32215,5875,100,67
1113319,123420,11218,167666,16102,128482,4817,6546,100,67
857706,106021,34700,134229,13954,93565,5272,5195,100,67
1216158,97155,11066,149960,6929,76564,7796,6384,100,66
249221,11204,16943,16642,9283,23950,667,1879,100,66
2054253,121180,11200,132035,37935,40664,50126,6035,100,60
1579258,75477,9287,44443,56352,35577,27310,4185,100,57
2014219,76033,7672,39717,65924,73295,5474,2999,100,57
1573815,52277,28487,23373,66525,92566,2864,9751,88,63
574390,27703,3139,12905,11565,28083,613,529,88,63
2470001,62223,53651,35680,62986,117412,2511,2976,88,63
1411940,99998,24953,22457,88243,116603,2516,3483,64,67
1197834,9904,6421,31217,66389,72444,9307,2030,50,78
532660,12888,1550,9098,12114,24647,850,602,50,78
1655230,8972,6374,16779,6100,12662,10850,332,50,78
1117627,50068,7720,49501,35827,133426,2592,1715,44,87
145778,222926,17929,110023,6645,96702,4002,3451,53,80
628333,192323,28191,67136,34789,169476,3483,4528,60,78
250355,1556,459,3531,1893,5472,350,177,60,78
592017,135111,35225,42036,63947,96795,19882,5049,60,74
153254,18424,6860,15234,2774,17706,2170,546,69,67
1777570,37958,68517,69948,114160,121800,37193,8526,74,74
1922585,81222,44318,127344,197200,87127,79494,8436,83,69
3478785,85286,25186,42036,40761,109316,16473,3730,83,69
208922,17453,8025,3772,8518,22798,889,418,83,70
427640,34194,8424,11448,7937,24670,933,697,83,70
2015542,119147,6115,14504,28722,92717,2823,2494,56,74
71771,27814,4714,12548,1555,7572,8689,924,54,66
13531,4318,345,773,1080,5385,474,101,35,70
86949,23140,8297,11577,9899,7930,8014,578,43,64
893374,52774,9048,26709,58913,49097,10629,2529,56,64
495492,27448,6377,4225,10034,26125,1341,412,56,64
414826,152034,12744,50704,13799,124419,7706,4926,48,70
1047289,93114,32933,10387,56664,32733,35577,2004,57,63
52522,12342,4111,1570,7095,20549,212,1043,43,74
50248,10970,4405,576,9526,13370,2483,1354,35,75
1064180,35339,10888,6892,32374,41302,32236,2525,29,77
21698,8542,1339,2795,7627,20921,620,715,20,84
754744,46889,17149,13934,9147,93367,3730,2698,24,84
993423,84318,30712,25614,6250,33468,32643,1417,41,80
1808351,19432,10694,25792,17602,37245,15402,2275,56,78
414516,164810,3800,33748,14409,12410,38427,2315,64,63
490191,90711,9805,49562,12707,56080,3837,3747,74,57
371216,92375,40104,31553,26198,49645,10503,2197,74,57
952368,69494,8907,19388,43614,31953,30966,2628,61,54
3198421,157176,64029,56116,162575,127362,204757,11147,64,64
1346499,178691,176851,132218,153381,226464,60325,10912,69,64
346723,37001,5194,3730,11307,4633,3849,839,56,60
405723,11040,6915,5080,5615,2230,4931,642,74,53
1588410,239296,10377,78387,127986,285176,16100,9890,63,56
563551,26456,6446,4634,11053,1422,3973,615,53,44
417348,14552,1167,6716,7252,4791,3778,465,53,44
2094839,87602,17721,11338,26539,11243,23459,2085,56,44
259278,3941,4409,1564,4173,21799,994,465,41,57
964291,79365,12770,24568,21327,23048,27226,1999,51,51
1526020,96103,40509,12558,22984,40599,11474,2907,54,60
1789522,176787,3216,21145,94745,93421,39279,6542,37,67
2621245,144213,31315,49003,63279,39158,161348,6207,41,56
2653240,79178,12414,39749,86126,400825,25888,14112,24,67
799885,11870,11056,8114,32799,21423,13523,4028,21,74
613913,34537,25334,19320,24543,23214,13461,6014,51,70
1993617,294032,30079,29512,132703,184255,73383,9434,37,77
1166086,110233,10509,8167,38008,29318,8113,3199,40,64
167924,16359,718,5453,10486,5367,4086,644,35,60
1684953,176485,17471,22957,30895,35909,27945,1624,20,56
821136,528238,183125,62046,242953,188405,54883,6167,34,53
1663037,317334,92378,133034,227254,135119,108177,8967,47,53
644048,13369,1520,7715,6262,15931,381,630,47,53
71374,57953,13884,7345,3163,3475,10124,562,54,47
2636791,176160,53848,67989,72975,124512,38616,6463,63,50
1446318,491256,108834,67040,56593,48326,23578,8587,64,44
1119578,255134,3101,93434,84617,100953,73646,8068,60,44
785976,21800,45854,45618,3417,13219,25138,5163,75,50
