,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
0,119164,56637,3220,60341,83660,186023,211736,175566,0,0
1,591738,36138,7404,16454,19557,24062,5008,1097,0,0
2,757753,230393,167684,242374,211932,124124,5979,2166,0,0
3,727305,20158,6565,4597,8411,1743,616,420,0,0
4,957317,334851,57248,11018,9819,8794,6813,4038,0,0
5,1299365,150947,34433,11521,32546,10421,3075,1512,0,0
6,596664,31313,7457,7105,3920,2400,1163,1933,0,0
7,983419,33500,10360,15415,16638,3423,3813,4272,53,34
8,128209,47671,7776,687,8002,3487,1504,641,47,29
9,2495174,904056,31095,63933,129196,50184,56729,25024,27,20
10,682835,80482,12910,8488,13565,9256,5628,2903,26,26
11,863740,58117,10690,14352,7735,19541,7003,2031,26,26
12,609434,123866,69162,24795,10946,3790,2204,1181,26,26
13,1269132,41447,6928,8386,16330,5220,928,484,26,26
14,311383,6233,2017,1438,651,532,180,112,26,26
15,1418789,117229,40155,22533,6397,4416,5904,2481,26,13
16,1298688,57573,18079,13314,10363,5563,3082,2176,48,17
17,54828,1628,1774,644,594,1463,770,644,87,51
18,287786,35087,27150,5397,17043,4326,2047,2853,100,40
19,1527553,309586,86217,128879,64987,12050,9655,9626,100,40
20,498943,48311,39413,11881,22080,4799,2642,2532,100,35
21,305753,21494,5622,2859,3857,1560,1309,889,100,7
22,1277362,27261,9987,13939,11240,3105,2437,2482,100,10
23,169112,44803,16116,3109,10836,4033,2790,1870,90,26
24,1390471,32455,75958,14761,28216,9934,978,1256,90,26
25,170989,10100,701,1040,420,246,63,41,90,26
26,458255,205223,50949,30825,33805,20110,9895,10428,75,30
27,1402662,228914,19635,20810,41785,15036,20289,6345,60,30
28,520251,46963,4375,2972,6891,3259,3078,3186,35,29
29,1001224,52905,45762,35820,4588,10219,5195,3522,50,30
30,917778,268477,5531,8970,4698,2199,1314,1660,26,13
31,378493,148144,20504,23732,17010,14347,18759,1604,38,24
32,372520,87788,124360,21408,14199,8830,3461,4038,70,26
33,588835,55926,35728,9717,12427,4179,1524,1129,63,26
34,647962,100691,18262,4399,18085,15534,2921,420,78,56
35,514658,6092,1167,4164,956,1245,561,382,88,60
36,1032920,188513,37066,31838,48636,45938,19358,10533,66,77
37,1712168,21672,14955,5286,11332,8130,2468,1852,63,93
38,2197626,77665,36218,40833,14265,11570,19991,8774,83,88
39,202760,19829,4409,1760,2608,1567,1234,1098,74,81
40,1309846,21947,33124,16021,15339,5910,4095,2087,93,74
41,101970,40424,8688,24310,4495,1859,7142,2865,100,51
42,129704,13605,3029,7872,8240,3666,2257,2641,91,60
43,75446,28299,4589,985,1198,1844,1134,374,84,57
44,113259,14793,2817,2957,12139,2254,1840,1695,61,61
45,228112,46050,7496,28326,6580,2973,1647,1805,57,64
46,46946,5466,3768,3094,1542,2386,636,275,66,66
47,1780658,85068,145231,29355,21043,13000,12289,7138,93,64
48,1763141,156344,5078,21823,27170,19911,3853,2738,87,64
49,290410,56127,14359,50891,35597,22303,16414,3656,84,83
50,232771,48368,13122,8540,2219,2512,988,1661,77,63
