,Time,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
76,2020.3.8.16.3.0,714853,61789,19688,5458,3660,3032,961,1089,0,0
77,2020.3.8.16.3.1,208060,48743,958,13786,6474,2866,379,274,0,0
78,2020.3.8.16.3.2,822575,101091,19533,10140,9293,5857,1682,891,48,38
79,2020.3.8.16.3.3,348434,119757,16763,4502,5208,6529,3212,1075,47,37
80,2020.3.8.16.3.4,889419,24997,18112,5220,1782,4260,1127,1322,69,53
81,2020.3.8.16.3.5,122962,88072,47606,11758,7647,6200,3551,1699,90,51
82,2020.3.8.16.3.6,687937,284205,62564,30993,26944,20290,8158,3985,90,54
83,2020.3.8.16.3.7,532555,102097,24276,9049,4256,5580,2488,846,100,51
84,2020.3.8.16.3.8,79318,83520,1666,15077,19134,3865,1734,1894,78,29
85,2020.3.8.16.3.9,1990745,555780,200983,120593,24752,17970,6058,5415,78,29
86,2020.3.8.16.3.10,537308,1595395,809886,448241,371308,820275,352520,110146,78,29
87,2020.3.8.16.3.11,388426,19821,5403,2437,1308,743,172,129,78,29
88,2020.3.8.16.3.12,42472,15921,1267,1698,421,239,98,38,78,29
89,2020.3.8.16.3.13,2045898,228319,56155,84432,27547,11941,4323,2101,75,21
90,2020.3.8.16.3.14,573301,117232,63374,9181,34828,7983,2103,1367,83,17
91,2020.3.8.16.3.15,250997,24854,11913,2286,4160,1973,344,552,88,26
92,2020.3.8.16.3.16,141078,31205,13574,8493,7828,4304,870,461,100,43
93,2020.3.8.16.3.17,247706,10989,5890,3091,17205,1546,550,442,96,66
94,2020.3.8.16.3.18,272358,51743,9136,12568,7282,5749,1975,1597,96,66
95,2020.3.8.16.3.19,1877853,84505,40162,71751,26189,25663,20283,6944,96,66
96,2020.3.8.16.3.20,670610,5837,924,4252,3226,794,242,51,96,66
97,2020.3.8.16.3.21,1827,2601,417,204,62,70,8,12,96,66
98,2020.3.8.16.3.22,3386257,505892,17536,19373,31544,21853,7444,1859,96,66
99,2020.3.8.16.3.23,207520,16974,1661,1307,1885,1659,307,211,78,80
100,2020.3.8.16.3.24,182684,50029,18217,7564,5125,1720,349,261,78,60
101,2020.3.8.16.3.25,592529,211579,12707,7018,19197,10381,3759,1091,50,44
102,2020.3.8.16.3.26,763466,149750,32562,6245,42869,8583,3235,906,43,34
103,2020.3.8.16.3.27,829049,685506,76270,60533,123468,24663,5302,3344,47,10
104,2020.3.8.16.3.28,440066,68399,41325,3221,4476,3453,1537,1538,50,17
105,2020.3.8.16.3.29,2040901,397383,21627,39496,54764,7258,8408,2838,56,1
106,2020.3.8.16.3.30,734832,133478,28233,23747,10423,17409,1574,1346,64,16
107,2020.3.8.16.3.31,791772,83491,22606,24809,2458,15685,2778,662,81,48
108,2020.3.8.16.3.32,1193382,291630,76197,8182,26157,14759,1944,4008,81,48
109,2020.3.8.16.3.35,4554,468,120,94,74,30,11,7,81,48
110,2020.3.8.16.3.36,168027,80543,698,13273,20420,11606,4734,1244,81,48
111,2020.3.8.16.3.37,1456167,62135,14752,11143,15192,8192,5370,4081,0,0
112,2020.3.8.16.4.38,997515,104917,22484,21612,23632,8868,8442,1561,0,0
113,2020.3.8.16.4.39,1163002,265145,51016,33346,18731,7876,10511,5725,0,0
114,2020.3.8.16.4.40,400800,37544,6312,5208,3970,2992,533,278,0,0
