,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,Meditation,Attention
300,723974,58267,11895,16077,18438,5585,4277,756,77,41
301,1521806,245883,40547,47618,40076,46356,12504,7750,74,57
302,635431,93802,25051,8963,22030,3963,3319,2634,64,54
303,262143,90387,30205,6504,20590,7016,4689,1518,56,54
304,984795,536559,139229,46808,36335,40756,8629,5763,56,53
305,767478,46949,13175,12017,35294,9444,1881,1037,56,53
306,324096,277587,101070,49381,12112,21254,19011,12296,61,57
307,1293369,96470,12192,8094,10485,3522,3772,848,57,51
308,3003360,225139,88112,128150,39198,24445,4471,5665,66,51
309,689316,128317,36133,16228,18127,13353,5698,2990,69,44
310,1872445,1701153,331239,75203,60431,130181,20857,34373,61,47
311,1589765,118328,38215,18195,55661,16964,4015,2870,66,61
312,1775410,1238230,366477,181289,33821,45661,14309,19574,60,53
313,2179411,671657,181745,265180,142286,60016,21043,13283,63,50
314,82227,21777,30008,2902,2285,1573,1423,614,81,41
315,98644,41597,12125,8800,7506,3755,1422,557,83,35
316,2106553,854417,314105,222273,192656,113251,28370,8325,84,48
317,789668,101882,82351,23701,12447,9339,9674,1610,88,47
318,1148628,246828,36920,97566,34985,11433,4818,3381,78,47
319,81280,41277,3536,5425,2603,1115,1392,860,70,37
320,1466598,130929,13846,26183,13610,8016,4420,3700,64,29
321,219517,349934,39205,51331,14363,19856,4653,3627,54,29
322,879896,260825,142212,41595,20949,27905,5079,3180,56,38
323,75359,28256,16881,4202,2704,2368,2073,357,66,47
324,354657,274404,10804,12611,6508,7692,2615,5059,54,40
325,31441,23556,5648,3091,1758,746,278,236,57,30
326,106186,313842,69948,40453,21934,35931,15015,2141,51,35
327,88874,65749,21965,13173,935,2387,827,1609,50,27
328,685193,87468,22036,54968,36383,15094,9352,1149,67,41
329,1060124,165608,22584,30875,18746,10607,4619,2890,66,50
330,135142,108430,10749,6715,2606,7275,775,368,60,44
331,95412,41479,5156,5781,2174,1910,1322,826,53,50
332,158455,38279,4255,7097,3041,2029,2003,590,47,41
333,436578,153120,65111,12538,12593,6012,3779,5336,50,34
334,189815,225949,9859,5325,15499,8811,4175,2971,41,27
335,667835,199419,44273,18440,44107,12782,8685,4168,41,30
336,1117840,167310,44678,30321,25016,13774,10489,3997,44,35
337,975107,173607,61625,25793,48727,13184,4431,4495,43,43
338,1237812,118619,46660,46632,30741,12152,6486,4896,64,48
339,203311,66211,14437,2454,3538,5211,1294,455,64,51
340,1772879,215898,25099,72298,66021,27417,16521,6290,61,56
341,849317,1536764,40716,80428,164471,55259,30077,12820,47,53
342,319039,1318703,18551,63730,153277,52918,10359,23831,23,48
343,281408,40807,23394,13947,5722,4406,1907,1003,35,47
344,407974,218251,24314,3594,2977,9783,1028,629,26,37
345,132122,67461,35860,5291,8805,4929,1394,800,47,40
346,1359858,132071,41203,98691,31078,28481,6244,3565,70,50
347,208118,49613,23873,6408,5165,3391,1059,940,66,48
348,1211212,184835,48012,14564,34135,27894,6470,3168,75,61
349,808013,184110,40224,65551,13587,18721,5462,3200,74,66
350,703012,671291,12108,50426,60578,9155,9959,3620,51,41
351,221458,89683,3184,21968,4804,6374,2844,1210,44,43
352,285196,4613,12679,2861,6854,1766,981,687,61,40
353,860317,1558471,518566,59457,80400,70079,34062,9853,57,30
354,541758,85148,11894,3861,6504,1773,1135,543,64,35
355,1730382,381961,184438,22013,234464,56903,30069,16078,66,43
356,510798,220923,111009,18090,24549,18702,4953,3927,56,37
357,376066,54791,15748,11682,5070,8585,1264,577,57,51
358,200222,58038,4808,25247,5732,4161,2142,748,66,64
359,407349,669095,37875,30800,27077,22179,4632,4773,56,51
360,727558,253096,15999,58487,21783,17206,8993,3079,51,51
361,466464,30569,4941,10416,13885,4282,2725,1695,50,50
362,840035,83706,38604,9364,14115,10233,7072,3290,50,53
363,1007920,512662,95655,28193,30273,5500,3375,3667,56,40
364,421123,176666,106679,12920,18556,14958,6080,4187,64,38
365,758709,138983,14723,34615,52080,19857,3904,2028,61,40
366,1168420,156301,102696,24150,12400,6268,5735,3681,67,27
367,1783118,145062,29810,45133,32714,6403,7381,5494,74,43
368,674301,94644,45293,42065,9374,14898,12933,2285,75,48
369,154048,17814,17615,4111,8088,7451,1667,650,83,56
370,830198,51352,33183,24196,47394,9260,2531,2850,83,56
371,1116001,44584,31153,18277,12091,9350,2035,936,83,75
372,1458267,420562,35151,54685,34495,26624,9278,10730,75,81
373,2352443,1006074,852216,76388,261477,158605,35443,25750,75,81
374,813186,281754,164457,122160,160120,22566,13330,19881,75,63
375,2507667,186041,86787,61128,29248,22313,13271,4329,74,56
376,436622,401338,28246,91851,44717,26366,8546,4183,77,56
377,687579,210086,108402,15518,53959,27404,7465,2563,74,56
378,1344610,162534,24221,28189,27471,27447,14231,5027,63,69
379,1101715,166140,75612,44999,41011,15260,9185,3888,61,67
